No;Merek;Model;Tipe;Adjusted Volume (liter)*;Daya (watt);Rating Bintang (1-5);"Konsumsi Energi Tahunan &lt;br&gt;(kWh)*";Biaya Listrik Tahunan (Rp)
36;SHARP;"FJ-M189; FJ-M186";Satu Pintu;242;40,96;1;376,95;544575,33
37;SHARP;"FJ-M195; FJ-M198";Satu Pintu;330,36;50,55;1;464,94;671703,15
38;SHARP;SJ-197, SJ-196, SJ-195;Dua Pintu;198,86;39,23;1;424,56;613361,83
39;CHANGHONG;CRF-208;Dua Pintu;169,43;48,64;1;391,11;565042,4
40;CHANGHONG;CRF-238;Dua Pintu;199,43;33,36;2;299,96;433350,77
41;CHANGHONG;CBC-50;Satu Pintu;46;23,52;2;216,26;312430,82
42;CHANGHONG;"CBC-100; FSR130DB";Satu Pintu;90;29,12;1;272,15;393180,88
43;CHANGHONG;FTM155DB;Dua Pintu;131,64;37,64;1;355,3;513301,91
44;CHiQ;CTM228DB;Dua Pintu;199,43;33,36;2;299,96;433350,77
45;CHiQ;CSR58DG;Satu Pintu;46;23,52;2;216,26;312430,82
46;CHiQ;CSR108DG;Satu Pintu;90;29,12;1;272,15;393180,88
47;CHiQ;CTM158DB;Dua Pintu;131,64;37,64;1;355,3;513301,91
48;CHANGHONG;FTM280NB;Dua Pintu;242,64;32,45;2;322,56;465996,65
49;CHANGHONG;FTM285NIB;Dua Pintu;242,64;24,68;3;249,87;360979,97
50;CHANGHONG;FTM355NIB;Dua Pintu;292,64;27,41;3;277,98;401593,37
51;SAMSUNG;"RT20FARWDSA;  RT19M300BGS";Dua Pintu;248,79;100;1;378,01;546103,82
52;SAMSUNG;RT22FARBDSA;Dua Pintu;276,76;100;1;419,67;606290,03
53;SAMSUNG;RT25FARBDSA;Dua Pintu;296,79;100;1;445,39;643450,6
54;SAMSUNG;RT25FARBDB1/SE;Dua Pintu;297,64;36,27;2;357,99;517188,15
55;SAMSUNG;RT22FARBDB1/SE;Dua Pintu;277,64;36,05;2;351,3;507523,11
56;SHARP;"SJ-50MB-XW ; SJ-50MB-XB";Satu Pintu;59,26;0;2;230,22;332598,83
57;PANASONIC;NR-BB211Q;Dua Pintu;239,43;58,3;1;431,42;623272,47
58;PANASONIC;NR-BB210V;Dua Pintu;239,43;58,3;1;431,42;623272,47
59;LG;"GN-B202SQIB; GN-B202SLIB; GN-B202SXIB";Dua Pintu;221,57;29,96;2;324,29;468506,1
60;LG;"GN-B222SQIB; GN-B222SLIB; GN-B222SXIB";Dua Pintu;243,57;32,23;2;335,23;484303,89
61;TOSHIBA;GR-RD196CC-DMF;Satu Pintu;171,14;29,33;2;272,43;393578,18
62;STEKO;STR-18EU;Satu Pintu;140;47,5;1;367,4;530782,78
63;STEKO;STR-19EU;Satu Pintu;160;45,98;1;358,76;518300,57
64;PANASONIC;NR-BB200V,  NR-BB201Q,  NR-BN200V.;Dua Pintu;225,43;50,4;1;428,48;619025,06
65;PANASONIC;NR-BB251Q,  NR-BB250V,  NR-BB251G,  NR-BB252Q.;Dua Pintu;277,71;49,4;2;326,75;472055,73
66;POLYTRON;ER16015906;Satu Pintu;172,32;0;2;242,2;349906,34
67;POLYTRON;ER42117712;Dua Pintu;202,22;0;1;421,01;608233,15
68;POLYTRON;ER42118612;Dua Pintu;215,07;0;1;448,1;647370,07
69;POLYTRON;ER40018206;Satu Pintu;198,92;0;2;198,92;287379,72
70;POLYTRON;ER60014306;Satu Pintu;156,32;0;2;275,4;397870,38
71;POLYTRON;ER81016806;Satu Pintu;181,32;0;2;278,48;402320,06
72;POLYTRON;ER84123012;Dua Pintu;259,07;0;1;426,8;616597,96
73;POLYTRON;ER40016806;Satu Pintu;180,55;0;2;284,53;411060,49
74;POLYTRON;ER64016806;Satu Pintu;180,55;0;2;307,18;443782,95
75;POLYTRON;ER40014306;Satu Pintu;157,75;0;2;255,51;369135,3
76;POLYTRON;ER64018206;Satu Pintu;207,83;0;2;332,18;479900,45
77;POLYTRON;ER64014306;Satu Pintu;157,75;0;2;287,06;414715,58
78;POLYTRON;ER42121212;Dua Pintu;251,78;0;1;427,65;617825,96
79;POLYTRON;ER84118612;Dua Pintu;226,88;0;1;358,18;517462,65
80;POLYTRON;ER15018206;Satu Pintu;207,83;0;2;299,43;432586,52
81;POLYTRON;ER15014306;Satu Pintu;157,75;0;2;241,05;348244,94
82;POLYTRON;ER16018206;Satu Pintu;207,83;0;2;289,72;418558,48
83;POLYTRON;ER16014306;Satu Pintu;157,75;0;2;259,91;375491,98
84;POLYTRON;ER60018206;Satu Pintu;207,83;0;1;345,46;499086,06
85;POLYTRON;ER81018206;Satu Pintu;207,83;0;2;330,72;477791,18
86;POLYTRON;ER84121212;Dua Pintu;251,78;0;1;435,3;628877,91
87;LG;GN-B200SQCP;Dua Pintu;243,57;46;2;346,19;500140,69
88;LG;GN-B200SQCM;Dua Pintu;243,57;46;2;346,19;500140,69
89;LG;GN-B200SQBN;Dua Pintu;243,57;46;2;346,19;500140,69
90;LG;GN-B215SQBN;Dua Pintu;243,57;46;2;346,19;500140,69
91;LG;GN-B215SQCP;Dua Pintu;243,57;46;2;346,19;500140,69
92;LG;GN-B215SQCM;Dua Pintu;243,57;46;2;346,19;500140,69
93;LG;GN-INV201SL;Satu Pintu;173,29;34,8;3;198,27;286440,67
94;LG;GN-INV201CL;Satu Pintu;173,29;34,8;3;198,27;286440,67
95;LG;GN-INV201CW;Satu Pintu;173,29;34,8;3;198,27;286440,67
96;LG;GN-INV201BK;Satu Pintu;173,29;34,8;3;198,27;286440,67
97;LG;GN-INV201DL;Satu Pintu;173,29;34,8;3;198,27;286440,67
98;LG;GN-INV201CP;Satu Pintu;173,29;34,8;3;198,27;286440,67
99;LG;GN-INV201CM;Satu Pintu;173,29;34,8;3;198,27;286440,67
100;LG;GN-INV201BN;Satu Pintu;173,29;34,8;3;198,27;286440,67
101;LG;GN-INV331SLB;Satu Pintu;204,29;36,5;3;201,68;291367,1
102;LG;GN-INV331BK;Satu Pintu;204,29;36,5;3;201,68;291367,1
103;LG;GN-INV331SL;Satu Pintu;204,29;36,5;3;201,68;291367,1
104;LG;GN-INV331CP;Satu Pintu;204,29;36,5;3;201,68;291367,1
105;LG;GN-INV331CM;Satu Pintu;204,29;36,5;3;201,68;291367,1
106;LG;GN-INV331BN;Satu Pintu;204,29;36,5;3;201,68;291367,1
107;LG;GN-B185SQBB;Dua Pintu;221,57;47;2;333,89;482370,88
108;LG;GN-B185SQWH;Dua Pintu;221,57;47;2;333,89;482370,88
109;LG;GN-B195SQMT;Dua Pintu;221,57;47;2;333,89;482370,88
110;LG;GN-B185SQBK;Dua Pintu;221,57;47;2;333,89;482370,88
111;LG;GN-B185SQBP;Dua Pintu;221,57;47;2;333,89;482370,88
112;LG;GN-B195SXMT;Dua Pintu;221,57;47;2;333,89;482370,88
113;LG;GN-B195SLMT;Dua Pintu;221,57;47;2;333,89;482370,88
114;LG;GN-B185SQCP;Dua Pintu;221,57;47;2;333,89;482370,88
115;LG;GN-B185SQCM;Dua Pintu;221,57;47;2;333,89;482370,88
116;LG;GN-B185SQBN;Dua Pintu;221,57;47;2;333,89;482370,88
117;LG;GN-B195SQCP;Dua Pintu;221,57;47;2;333,89;482370,88
118;LG;GN-B195SQCM;Dua Pintu;221,57;47;2;333,89;482370,88
119;LG;GN-B195SQBN;Dua Pintu;221,57;47;2;333,89;482370,88
120;LG;GN-B200SQBB;Dua Pintu;243,57;46;2;346,19;500140,69
121;LG;GN-B200SQWH;Dua Pintu;243,57;46;2;346,19;500140,69
122;LG;GN-B200SQBP;Dua Pintu;243,57;46;2;346,19;500140,69
123;LG;GN-B215SQMT;Dua Pintu;243,57;46;2;346,19;500140,69
124;LG;GN-B200SQBK;Dua Pintu;243,57;46;2;346,19;500140,69
125;LG;GN-G222SLCB;Dua Pintu;243,57;46;2;346,19;500140,69
126;LG;GN-G222SXCB;Dua Pintu;243,57;46;2;346,19;500140,69
127;LG;GN-G222SQCB;Dua Pintu;243,57;46;2;346,19;500140,69
128;LG;GN-B215SXMT;Dua Pintu;243,57;46;2;346,19;500140,69
129;LG;GN-B215SLMT;Dua Pintu;243,57;46;2;346,19;500140,69
130;LG;GN-B272SQCB;Dua Pintu;298;45,7;2;370,23;534871,28
131;LG;GN-G272SLCB;Dua Pintu;298;45,7;2;370,23;534871,28
132;LG;GN-G272SXCB;Dua Pintu;298;45,7;2;370,23;534871,28
133;PANASONIC;NR-AF171S;Satu Pintu;157,79;62,4;1;336,83;486618,3
134;PANASONIC;NR-AF191S;Satu Pintu;167,79;65,8;1;347,52;502062,14
135;PANASONIC;NR-BB220V, NR-BB221Q;Dua Pintu;253,43;51,9;1;466,4;673808,08
136;PANASONIC;NR-BB270V, NR-BB271G, NR-BB271Q, NR-BB272Q;Dua Pintu;296,71;57;2;350,97;507046,36
137;AQUA;AQR-D185;Satu Pintu;153,21;71,1;2;271,95;392886,17
138;AQUA;AQR-D188;Satu Pintu;153,21;71,1;2;271,95;392886,17
139;AQUA;AQR-D181;Satu Pintu;140;54,6;1;340,6;492064,82
140;AQUA;AQR-D190;Satu Pintu;174,21;68,3;1;412,39;595779,83
141;AQUA;AQR-D275R;Dua Pintu;263,69;56,63;1;488,98;706429,41
142;AQUA;AQR-D205;Satu Pintu;173,21;58;2;297,46;429740,46
143;AQUA;AQR-D225;Satu Pintu;190,71;88;1;339,77;490865,72
144;AQUA;AQR-355IG;Dua Pintu;317,14;43,2;2;360,88;521363,34
145;AQUA;AQR-355IM;Dua Pintu;317,14;43,2;2;360,88;521363,34
146;BEKO;RS9210W;Satu Pintu;93;58,2;3;191,93;277281,27
147;BEKO;RS9210P;Satu Pintu;93;58,2;3;191,93;277281,27
148;BEKO;RS9210S;Satu Pintu;93;58,2;3;191,93;277281,27
149;BEKO;RSSO160K00K;Satu Pintu;157,79;65,1;1;325,1;469671,97
150;BEKO;RSSO170K00K;Satu Pintu;167,79;62,5;1;357,97;517159,26
151;SANKEN;SK-V181;Satu Pintu;189,64;91,5;1;403,08;582329,68
152;SANKEN;SK-G182;Satu Pintu;189,64;91,5;1;403,08;582329,68
153;SANKEN;SK-G186;Satu Pintu;189,64;91,5;1;403,08;582329,68
154;SANKEN;SK-V188;Satu Pintu;187,14;87,4;1;347,58;502148,83
155;TOSHIBA;GR-RD196CC-DMF(37);Satu Pintu;171,14;46,96;1;410,06;592413,68
156;HITACHI;HR1S5155M;Satu Pintu;157,79;63,6;2;292,65;422791,45
157;HITACHI;HR1S5164M;Satu Pintu;167,79;59,8;1;329,34;475797,5
158;HITACHI;HRTN5198M;Dua Pintu;219,5;2541;3;255,99;369822,97
159;SHARP;SJ-X165 SJ-X167 SJ-N162;Satu Pintu;152;100;2;227,63;328857,06
160;SHARP;SJ-X185 SJ-X187 SJ-N182;Satu Pintu;225,29;90;1;351,42;507696,47
161;SHARP;SJ-X195 SJ-X197 SJ-N192;Satu Pintu;249,71;90;1;419,74;606398,38
162;SHARP;SJ-X195W SJ-X197W;Satu Pintu;251,07;90;2;289,05;417590,54
163;SHARP;SJ-236 SJ-237 SJ-246;Dua Pintu;322,14;100;1;519,9;751099,53
164;SHARP;SJ-316 SJ-317 SJ-326;Dua Pintu;457,14;100;1;632,69;914047,24
165;SHARP;SJ-246XI;Dua Pintu;366,07;100;2;415,84;600764,05
166;SHARP;SJ-326XI;Dua Pintu;457,14;100;2;418,32;604346,9
167;BEKO;"RS10130BMD; RS10130SMD; RS10130WMD";Satu Pintu;90;34,04;1;295,66;427144,34
168;BEKO;"RDSO125K20S; RDSO125K20R; RDSO125K20FP";Dua Pintu;131,6;41,9;1;373,64;539797,71
169;BEKO;"RS5020WMD; RS5020BMD; RS5020SMD";Satu Pintu;46;20,3;2;214,48;309856,37
170;BEKO;"RDSO185K20S; RDSO185K20R; RDSO185K20FP";Dua Pintu;199,4;34,04;2;324,27;468465,65
171;BEKO;"RDSO155K20S; RDSO155K20R; RDSO155K20FP";Dua Pintu;169,4;35,95;1;325,04;469588,18
172;HITACHI;R-H24PGD7;Dua Pintu;243,07;45,4;2;345,51;499158,3
173;AQUA;AQR-D191;Satu Pintu;160;63;1;327,73;473471,53
174;AQUA;AQR-D251;Dua Pintu;224,14;92;1;458,49;662380,5
175;AQUA;AQR-D270;Dua Pintu;263,69;93;1;493,38;712786,09
176;AQUA;AQR-D50F;Satu Pintu;50;60,7;1;311,99;450731,95
177;ELECTROLUX;EUM0500BD-ID;Satu Pintu;45;29,83;1;253,12;365682,46
178;BEKO;"RDNT232I20HFS; RDNT232I20HFK";Dua Pintu;248;37,75;2;352,72;509574,58
179;MIDEA;GR-RT234WE-PMF;Dua Pintu;227,93;28,39;2;320;0
180;MIDEA;GR-RT303WE-PMF;Dua Pintu;280,93;31,05;2;356,05;514386,88
181;MIDEA;GR-RT329WE-PMF;Dua Pintu;300,93;35,48;2;382,75;552958,93
182;HITACHI;HRTN5230M;Dua Pintu;254;39,7;2;115,92;167475,4
183;HITACHI;HRTN5255MF;Dua Pintu;284;38,6;2;112,71;162835,03
184;HITACHI;HRTN5275MF;Dua Pintu;304;40,4;2;117,97;170428,37
185;SANKEN;"SK-G186; SK-V181; SK-G182; SK-G189";Satu Pintu;183,86;29,44;2;281,19;406236,64
186;LG;"GN-Y201CLD; GN-Y201CLD; GN-Y201CHD";Satu Pintu;173,29;24,17;3;232,05;335242,64
